,AnnualIncome,SpendingScore,cluster
0,15,39,1
1,15,81,1
2,16,6,1
3,16,77,1
4,17,40,1
5,17,76,1
6,18,6,1
7,18,94,1
8,19,3,1
9,19,72,1
10,19,14,1
11,19,99,1
12,20,15,1
13,20,77,1
14,20,13,1
15,20,79,1
16,21,35,1
17,21,66,1
18,23,29,1
19,23,98,1
20,24,35,1
21,24,73,1
22,25,5,1
23,25,73,1
24,28,14,1
25,28,82,1
26,28,32,1
27,28,61,1
28,29,31,1
29,29,87,1
30,30,4,1
31,30,73,1
32,33,4,1
33,33,92,1
34,33,14,1
35,33,81,1
36,34,17,1
37,34,73,1
38,37,26,1
39,37,75,1
40,38,35,1
41,38,92,1
42,39,36,1
43,39,61,1
44,39,28,1
45,39,65,1
46,40,55,1
47,40,47,1
48,40,42,1
49,40,42,1
50,42,52,1
51,42,60,1
52,43,54,1
53,43,60,1
54,43,45,1
55,43,41,1
56,44,50,1
57,44,46,1
58,46,51,1
59,46,46,1
60,46,56,1
61,46,55,1
62,47,52,1
63,47,59,1
64,48,51,1
65,48,59,1
66,48,50,1
67,48,48,1
68,48,59,1
69,48,47,1
70,49,55,1
71,49,42,1
72,50,49,1
73,50,56,1
74,54,47,1
75,54,54,1
76,54,53,1
77,54,48,1
78,54,52,1
79,54,42,1
80,54,51,1
81,54,55,1
82,54,41,1
83,54,44,1
84,54,57,1
85,54,46,1
86,57,58,1
87,57,55,1
88,58,60,1
89,58,46,1
90,59,55,1
91,59,41,1
92,60,49,1
93,60,40,1
94,60,42,1
95,60,52,1
96,60,47,1
97,60,50,1
98,61,42,1
99,61,49,1
100,62,41,1
101,62,48,1
102,62,59,1
103,62,55,1
104,62,56,1
105,62,42,1
106,63,50,1
107,63,46,1
108,63,43,1
109,63,48,1
110,63,52,1
111,63,54,1
112,64,42,1
113,64,46,1
114,65,48,1
115,65,50,1
116,65,43,1
117,65,59,1
118,67,43,1
119,67,57,1
120,67,56,1
121,67,40,1
122,69,58,1
123,69,91,0
124,70,29,2
125,70,77,0
126,71,35,2
127,71,95,0
128,71,11,2
129,71,75,0
130,71,9,2
131,71,75,0
132,72,34,2
133,72,71,0
134,73,5,2
135,73,88,0
136,73,7,2
137,73,73,0
138,74,10,2
139,74,72,0
140,75,5,2
141,75,93,0
142,76,40,2
143,76,87,0
144,77,12,2
145,77,97,0
146,77,36,2
147,77,74,0
148,78,22,2
149,78,90,0
150,78,17,2
151,78,88,0
152,78,20,2
153,78,76,0
154,78,16,2
155,78,89,0
156,78,1,2
157,78,78,0
158,78,1,2
159,78,73,0
160,79,35,2
161,79,83,0
162,81,5,2
163,81,93,0
164,85,26,2
165,85,75,0
166,86,20,2
167,86,95,0
168,87,27,2
169,87,63,0
170,87,13,2
171,87,75,0
172,87,10,2
173,87,92,0
174,88,13,2
175,88,86,0
176,88,15,2
177,88,69,0
178,93,14,2
179,93,90,0
180,97,32,2
181,97,86,0
182,98,15,2
183,98,88,0
184,99,39,2
185,99,97,0
186,101,24,2
187,101,68,0
188,103,17,2
189,103,85,0
190,103,23,2
191,103,69,0
192,113,8,2
193,113,91,0
194,120,16,2
195,120,79,0
196,126,28,2
197,126,74,0
198,137,18,2
199,137,83,0
